General Area,Specialty,Researcher,Primary Department,College
ENERGY,Solar,David Baker,Biochemistry,Arts & Sciences
ENERGY,Bioenergy,Rose Ann Cattolico,Biology,Arts & Sciences
ENERGY,Bioenergy,Thomas Spiro,Chemistry,Arts & Sciences
ENERGY,Energy Harvesting,Thomas Spiro,Chemistry,Arts & Sciences
ENERGY,Solar,Brandi Cossairt,Chemistry,Arts & Sciences
ENERGY,Solar,Charles Campbell,Chemistry,Arts & Sciences
ENERGY,Solar,Daniel Gamelin,Chemistry,Arts & Sciences
ENERGY,Solar,David Ginger,Chemistry,Arts & Sciences
ENERGY,Solar,Thomas Spiro,Chemistry,Arts & Sciences
ENERGY,Wind,Allison Cullen,Evans School of Public Affairs,Arts & Sciences
ENERGY,Bioenergy,Caroline Harwood,Microbiology,Arts & Sciences
ENERGY,Bioenergy,John Leigh,Microbiology,Arts & Sciences
ENERGY,Bioenergy,Mary Lidstrom,Microbiology,Arts & Sciences
ENERGY,Energy Harvesting,Molecular Engineering and Sciences Institute,Physics,Arts & Sciences
ENERGY,Solar,Fernando Vila,Physics,Arts & Sciences
ENERGY,Solar,Gerald Seidler,Physics,Arts & Sciences
ENERGY,Solar,John Rehr,Physics,Arts & Sciences
POLICY,corporate social responsibility,Aseem Prakash,Political Science,Arts & Sciences
POLICY,environmental regulations,*Peter J. May,Political Science,Arts & Sciences
POLICY,pollution,Aseem Prakash,Political Science,Arts & Sciences
POLICY,sustainable communities,W. Lance Bennett,Political Science,Arts & Sciences
REGULATION,environmental regulations,*Peter J. May,Political Science,Arts & Sciences
SOCIAL,sustainable communities,Karen Litfin,Political Science,Arts & Sciences
SOCIAL,sustainable communities,W. Lance Bennett,Political Science,Arts & Sciences
ENERGY,Bioenergy,James Hermanson,Aeronautics and Astronautics,Engineering
ENERGY,Fusion,Richard Milroy,Aeronautics and Astronautics,Engineering
ENERGY,Fusion,Thomas Jarboe,Aeronautics and Astronautics,Engineering
ENERGY,Fusion,Uri Shumlak,Aeronautics and Astronautics,Engineering
ENERGY,Bioenergy,Daniel Schwartz,Chemical Engineering,Engineering
ENERGY,Bioenergy,James Carothers,Chemical Engineering,Engineering
ENERGY,Solar,Hugh Hillhouse,Chemical Engineering,Engineering
ENERGY,Solar,Lilo Pozzo,Chemical Engineering,Engineering
ENERGY,Solar,Samson Jenekhe,Chemical Engineering,Engineering
ENERGY,Bioenergy,David Stensel,Civil & Environmental Engineering,Engineering
ENERGY,electric vehicles,Don MacKenzie,Civil & Environmental Engineering,Engineering
ENERGY,Tidal/Hydrokinetics,Jim Thomson,Civil & Environmental Engineering,Engineering
ENERGY,Wind,Dorothy Reed,Civil & Environmental Engineering,Engineering
NATURAL RESOURCE DEGRADATION,carbon cycling,David Butman,Civil & Environmental Engineering,Engineering
NATURAL RESOURCE DEGRADATION,carbon cycling,Rebecca B. Neumann,Civil & Environmental Engineering,Engineering
NATURAL RESOURCE DEGRADATION,human health impacts,Rebecca B. Neumann,Civil & Environmental Engineering,Engineering
NATURAL RESOURCE DEGRADATION,pollution,Rebecca B. Neumann,Civil & Environmental Engineering,Engineering
NATURAL RESOURCE DEGRADATION,soil resources,Rebecca B. Neumann,Civil & Environmental Engineering,Engineering
NATURAL RESOURCE DEGRADATION,water management,Rebecca B. Neumann,Civil & Environmental Engineering,Engineering
NATURAL RESOURCE DEGRADATION,water quality,*Michael T. Brett,Civil & Environmental Engineering,Engineering
NATURAL RESOURCE DEGRADATION,water resources,David Butman,Civil & Environmental Engineering,Engineering
NATURAL RESOURCE DEGRADATION,water resources,Jessica D. Lundquist,Civil & Environmental Engineering,Engineering
PLANNING,sustainable infrastructure,Dorothy A. Reed,Civil & Environmental Engineering,Engineering
PLANNING,urban planning,Cynthia Chen,Civil & Environmental Engineering,Engineering
PLANNING,wastewater management,Jessica Kaminsky,Civil & Environmental Engineering,Engineering
PLANNING,water management,Jessica Kaminsky,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,air pollution,Julian D. Marshall,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,human health impacts,Julian D. Marshall,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,nuclear waste containment,*Robert D. Holtz,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,soil resources,*Robert D. Holtz,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,soil resources,Seana Davidson,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,soil resources,Seana Davidson,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,waste management,*Michael Dodd,Civil & Environmental Engineering,Engineering
POLLUTION/CLEANUP,waste management,Seana Davidson,Civil & Environmental Engineering,Engineering
