General Area,Specialty Area(s),College,Primary Department,Researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Engineering,Aeronautics and Astronautics,James Hermanson,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Fusion,Engineering,Aeronautics and Astronautics,Richard Milroy,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Fusion,Engineering,Aeronautics and Astronautics,Thomas Jarboe,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Fusion,Engineering,Aeronautics and Astronautics,Uri Shumlak,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Arts & Sciences,Biochemistry,David Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Arts & Sciences,Biology,Rose Ann Cattolico,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Engineering,Chemical Engineering,Daniel Schwartz,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Engineering,Chemical Engineering,James Carothers,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Chemical Engineering,Hugh Hillhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Chemical Engineering,Lilo Pozzo,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Engineering,Chemical Engineering,Samson Jenekhe,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Bioenergy,Arts & Sciences,Chemistry,Thomas Spiro,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Energy Harvesting,Arts & Sciences,Chemistry,Thomas Spiro,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Arts & Sciences,Chemistry,Brandi Cossairt,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Arts & Sciences,Chemistry,Charles Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Arts & Sciences,Chemistry,Daniel Gamelin,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Arts & Sciences,Chemistry,David Ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Solar,Arts & Sciences,Chemistry,Thomas Spiro,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Tidal/Hydrokinetics,Engineering,Civil and Environmental Engineering,Jim Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Wind,Engineering,Civil and Environmental Engineering,Dorothy Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY,Energy Harvesting,Engineering,Computer Science and Engineering,Joshua Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANNING,wastewater management,Engineering,Civil and Environmental Engineering,Jessica Kaminsky,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANNING,water management,Engineering,Civil and Environmental Engineering,Jessica Kaminsky,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTATION,sustainable infrastructure,Engineering,Civil and Environmental Engineering,Steve Muench,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTATION,solar power,Engineering,Civil and Environmental Engineering,Joe P. Mahoney,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTATION,sustainable infrastructure,Engineering,Civil and Environmental Engineering,Joe P. Mahoney,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNICAL SOLUTIONS,green building,College of Built Environments,Department of Architecture,Kate Simonen,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNICAL SOLUTIONS,life cycle analysis,College of Built Environments,Department of Architecture,Kate Simonen,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNICAL SOLUTIONS,sustainable agriculture,College of Built Environments,Department of Architecture,Gundula Proksch,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNICAL SOLUTIONS,sustainable building,College of Built Environments,Department of Architecture,Chris Meek,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNICAL SOLUTIONS,sustainable building,College of Built Environments,Department of Architecture,Heather Burpee,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNICAL SOLUTIONS,sustainable building,College of Built Environments,Department of Architecture,Kathryn Merlino,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNICAL SOLUTIONS,sustainable building,College of Built Environments,Department of Architecture,Mehlika Inanici,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNICAL SOLUTIONS,sustainable building,College of Built Environments,Department of Architecture,Rob Corser,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNICAL SOLUTIONS,sustainable infrastructure,College of Built Environments,Department of Architecture,Bob Mugerauer,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNICAL SOLUTIONS,sustainable infrastructure,College of Built Environments,Department of Architecture,Gundula Proksch,,,,,,,,,,,,,,,,,,,,,,,,,,,
